12:06:23.391: Clue SIZE: A MOLE OF
12:06:23.391: Clue VICTIM: QUARKS
12:06:23.391: Clue CRIME: CHARMED
12:06:23.411: Clue TIME: LAST SECOND
12:06:23.412: Clue PLACE: BLACK HOLE
12:06:23.412: Clue MOTIVE: GRAVITY FALL
12:06:23.412: Clue WEAPON: HIGGS BOSON
12:06:23.413: Clue BANDIT: THE ELECTRON
12:06:37.636: Message received: teamsix,password,1,AMDLEOF
12:06:37.637: Awarded: 0 pts
12:06:37.781: Message received: teamsix,password,1,AMDLEOF
12:06:37.782: Awarded: 0 pts
12:06:37.945: Message received: teamsix,password,1,AMDLEOF
12:06:37.947: Awarded: 0 pts
12:06:38.103: Message received: teamsix,password,1,AMDLEOF
12:06:38.104: Awarded: 0 pts
12:06:38.260: Message received: teamsix,password,1,AMDLEOF
12:06:38.261: Awarded: 0 pts
12:06:38.406: Message received: teamsix,password,1,AMDLEOF
12:06:38.406: Awarded: 0 pts
12:06:38.546: Message received: teamsix,password,1,AMDLEOF
12:06:38.547: Awarded: 0 pts
12:06:38.696: Message received: teamsix,password,1,AMDLEOF
12:06:38.697: Awarded: 0 pts
12:06:38.859: Message received: teamsix,password,1,AMDLEOF
12:06:38.861: Awarded: 0 pts
12:06:38.996: Message received: teamsix,password,1,AMDLEOF
12:06:38.996: Awarded: 0 pts
12:06:39.138: Message received: teamsix,password,1,AMDLEOF
12:06:39.139: Awarded: 0 pts
12:06:39.283: Message received: teamsix,password,1,AMDLEOF
12:06:39.284: Awarded: 0 pts
12:06:39.439: Message received: teamsix,password,1,AMDLEOF
12:06:39.440: Awarded: 0 pts
12:06:39.597: Message received: teamsix,password,1,AMDLEOF
12:06:39.598: Awarded: 0 pts
12:06:39.751: Message received: teamsix,password,1,AMDLEOF
12:06:39.752: Awarded: 0 pts
12:06:39.892: Message received: teamsix,password,1,AMDLEOF
12:06:39.893: Awarded: 0 pts
12:06:40.057: Message received: teamsix,password,1,AMDLEOF
12:06:40.061: Awarded: 0 pts
12:06:40.217: Message received: teamsix,password,1,AMDLEOF
12:06:40.219: Awarded: 0 pts
12:06:40.368: Message received: teamsix,password,1,AMDLEOF
12:06:40.369: Awarded: 0 pts
12:06:40.527: Message received: teamsix,password,1,AMDLEOF
12:06:40.528: Awarded: 0 pts
12:06:40.672: Message received: teamsix,password,1,AMDLEOF
12:06:40.672: Awarded: 0 pts
12:06:40.822: Message received: teamsix,password,1,AMDLEOF
12:06:40.822: Awarded: 0 pts
12:06:40.966: Message received: teamsix,password,1,AMDLEOF
12:06:40.968: Awarded: 0 pts
12:06:41.120: Message received: teamsix,password,1,AMDLEOF
12:06:41.121: Awarded: 0 pts
12:06:41.269: Message received: teamsix,password,1,AMDLEOF
12:06:41.270: Awarded: 0 pts
12:06:41.407: Message received: teamsix,password,1,AMDLEOF
12:06:41.408: Awarded: 0 pts
12:06:41.558: Message received: teamsix,password,1,AMDLEOF
12:06:41.559: Awarded: 0 pts
12:06:41.703: Message received: teamsix,password,1,AMDLEOF
12:06:41.704: Awarded: 0 pts
12:06:41.847: Message received: teamsix,password,1,AMDLEOF
12:06:41.848: Awarded: 0 pts
12:06:42.001: Message received: teamsix,password,1,AMDLEOF
12:06:42.002: Awarded: 0 pts
12:06:42.148: Message received: teamsix,password,1,AMDLEOF
12:06:42.149: Awarded: 0 pts
12:06:42.306: Message received: teamsix,password,1,AMDLEOF
12:06:42.307: Awarded: 0 pts
12:06:42.456: Message received: teamsix,password,1,AMDLEOF
12:06:42.457: Awarded: 0 pts
