12:54:20.418: Clue SIZE: A MOLE OF
12:54:20.418: Clue VICTIM: QUARKS
12:54:20.419: Clue CRIME: CHARMED
12:54:20.419: Clue TIME: LAST SECOND
12:54:20.420: Clue PLACE: BLACK HOLE
12:54:20.420: Clue MOTIVE: GRAVITY FALL
12:54:20.420: Clue WEAPON: HIGGS BOSON
12:54:20.421: Clue BANDIT: THE ELECTRON
12:54:20.833: Message received: teamsix,password,1,AMDLEOF
12:54:20.834: Awarded: 0 pts
12:54:20.837: Message received: teamsix,password,1,AMDLEOF
12:54:20.840: Awarded: 0 pts
12:54:20.915: Message received: teamsix,password,1,AMDLEOF
12:54:20.916: Awarded: 0 pts
12:54:21.063: Message received: teamsix,password,1,AMDLEOF
12:54:21.064: Awarded: 0 pts
12:54:21.205: Message received: teamsix,password,1,AMDLEOF
12:54:21.206: Awarded: 0 pts
12:54:21.346: Message received: teamsix,password,1,AMDLEOF
12:54:21.347: Awarded: 0 pts
12:54:21.471: Message received: teamsix,password,1,AMDLEOF
12:54:21.472: Awarded: 0 pts
12:54:21.596: Message received: teamsix,password,1,AMDLEOF
12:54:21.597: Awarded: 0 pts
12:54:21.814: Message received: teamsix,password,1,AMDLEOF
12:54:21.816: Awarded: 0 pts
12:54:21.976: Message received: teamsix,password,1,AMDLEOF
12:54:21.976: Awarded: 0 pts
12:54:22.124: Message received: teamsix,password,1,AMDLEOF
12:54:22.126: Awarded: 0 pts
12:54:22.282: Message received: teamsix,password,1,AMDLEOF
12:54:22.283: Awarded: 0 pts
12:54:22.448: Message received: teamsix,password,1,AMDLEOF
12:54:22.449: Awarded: 0 pts
12:54:22.575: Message received: teamsix,password,1,AMDLEOF
12:54:22.576: Awarded: 0 pts
12:54:22.694: Message received: teamsix,password,1,AMDLEOF
12:54:22.694: Awarded: 0 pts
12:54:22.833: Message received: teamsix,password,1,AMDLEOF
12:54:22.833: Awarded: 0 pts
12:54:22.946: Message received: teamsix,password,1,AMDLEOF
12:54:22.947: Awarded: 0 pts
12:54:23.079: Message received: teamsix,password,1,AMDLEOF
12:54:23.080: Awarded: 0 pts
12:54:23.204: Message received: teamsix,password,1,AMDLEOF
12:54:23.205: Awarded: 0 pts
12:54:23.329: Message received: teamsix,password,1,AMDLEOF
12:54:23.330: Awarded: 0 pts
12:54:23.449: Message received: teamsix,password,1,AMDLEOF
12:54:23.450: Awarded: 0 pts
12:54:23.584: Message received: teamsix,password,1,AMDLEOF
12:54:23.585: Awarded: 0 pts
12:54:23.705: Message received: teamsix,password,1,AMDLEOF
12:54:23.708: Awarded: 0 pts
12:54:23.832: Message received: teamsix,password,1,AMDLEOF
12:54:23.833: Awarded: 0 pts
12:54:23.961: Message received: teamsix,password,1,AMDLEOF
12:54:23.962: Awarded: 0 pts
12:54:24.081: Message received: teamsix,password,1,AMDLEOF
12:54:24.082: Awarded: 0 pts
12:54:24.197: Message received: teamsix,password,1,AMDLEOF
12:54:24.198: Awarded: 0 pts
12:54:24.323: Message received: teamsix,password,1,AMDLEOF
12:54:24.324: Awarded: 0 pts
12:54:24.443: Message received: teamsix,password,1,AMDLEOF
12:54:24.445: Awarded: 0 pts
12:54:24.572: Message received: teamsix,password,1,AMDLEOF
12:54:24.574: Awarded: 0 pts
12:54:24.689: Message received: teamsix,password,1,AMDLEOF
12:54:24.690: Awarded: 0 pts
12:54:24.822: Message received: teamsix,password,1,AMDLEOF
12:54:24.823: Awarded: 0 pts
12:54:24.945: Message received: teamsix,password,1,AMDLEOF
12:54:24.946: Awarded: 0 pts
12:54:25.072: Message received: teamsix,password,1,AMDLEOF
12:54:25.073: Awarded: 0 pts
12:54:25.189: Message received: teamsix,password,1,AMDLEOF
12:54:25.190: Awarded: 0 pts
12:54:25.314: Message received: teamsix,password,1,AMDLEOF
12:54:25.315: Awarded: 0 pts
12:54:25.442: Message received: teamsix,password,1,AMDLEOF
12:54:25.443: Awarded: 0 pts
12:54:25.570: Message received: teamsix,password,1,AMDLEOF
12:54:25.571: Awarded: 0 pts
12:54:25.689: Message received: teamsix,password,1,AMDLEOF
12:54:25.690: Awarded: 0 pts
12:54:25.814: Message received: teamsix,password,1,AMDLEOF
12:54:25.815: Awarded: 0 pts
12:54:25.941: Message received: teamsix,password,1,AMDLEOF
12:54:25.941: Awarded: 0 pts
12:54:26.071: Message received: teamsix,password,1,AMDLEOF
12:54:26.072: Awarded: 0 pts
12:54:26.193: Message received: teamsix,password,1,AMDLEOF
12:54:26.194: Awarded: 0 pts
12:54:26.325: Message received: teamsix,password,1,AMDLEOF
12:54:26.326: Awarded: 0 pts
12:54:26.449: Message received: teamsix,password,1,AMDLEOF
12:54:26.450: Awarded: 0 pts
12:54:26.569: Message received: teamsix,password,1,AMDLEOF
12:54:26.571: Awarded: 0 pts
12:54:26.693: Message received: teamsix,password,1,AMDLEOF
12:54:26.693: Awarded: 0 pts
12:54:26.817: Message received: teamsix,password,1,AMDLEOF
